Customer Name,Review Topic,Review Body,Rating(of 5),Review date
emary,I like it,It's ok,4,21-11-2022
hie,I like it,Awesome keep it up,5,18-11-2022
win,comfortable,Loving ❤️ ???? it,5,18-11-2022
piti Reuben,I love it,It has a longevity battery and very suitable...,5,18-11-2022
eph,I like it,The sound is superb,5,18-11-2022
odun,Mixed feelings,"I have issue with the voice, people can't hear me well especially on watsapp calls",3,18-11-2022
n,I like it,Just what I wanted it's style is mad,5,18-11-2022
oma,I love it,Good product,5,18-11-2022
ariyya Abdulrazak,Excellent product,"You are getting more than you paid for with this product, its just perfect all in all",5,17-11-2022
eph,Fine,"I just love it, the design, sound and everything",5,17-11-2022
iel,Amazing,"I love the Ear Pod, I've actually been anticipating a good Earpod and even this. Just getting it is just  too good. I enjoy those bass and clear sound",5,17-11-2022
aq,ice,It's very nice,5,17-11-2022
lola,I love it,Great sounds...,5,17-11-2022
ani,I like it,It's nice,4,16-11-2022
ma,I love it,Nice nice nice,5,15-11-2022
,Good air pods,Good sounds but right pod falls out of my ear despite changing the foam,4,15-11-2022
ustine,I like it,Nice product,4,14-11-2022
cy,oraimo earbud,Works perfectly fine,5,14-11-2022
l,I like it,The product is working perfectly,4,14-11-2022
nie,Love it,"This is my second pair, I lost one ear bud in my 1st pair and decided to buy a new one. I love the fact that I can go without charging it for almost 6 days...sound quality isn't bad either",5,14-11-2022
tar Abba,Wait for Black Friday,Don’t buy this B4 Black Friday you’ll get it for more than half the price,5,14-11-2022
a Sotunbo II,Worth the price,Buy it . You’d like it,4,14-11-2022
ca,I love it,Got what I ordered,5,14-11-2022
diya,Great product,Authentic,5,14-11-2022
ssing,"Mehn, the bass is dope.",Just got it and am loving it. Still testing,5,14-11-2022
afadeen,It's great,Good battery life.,5,11/11/2022
eph,Serves better!,"With this Oraimo Freepods-3 2Baba Edition, I look no further…",4,11/11/2022
bo,I like it,Superb,5,11/11/2022
ise Amewhule,Top notch,Very brilliant sound,5,10/11/2022
omina,satisfactory,Excellent,5,9/11/2022
EPH,Best product,Love it,5,8/11/2022
ri,Cool,My second buy,4,8/11/2022
CY,I like it,Sound okay,4,7/11/2022
zabeth,the packaging is cool,I like it to the extent I can't share it????,5,7/11/2022
uel,I like it.,Stereo is great and supports SBC & AAC,5,7/11/2022
echukwu,I love it,Exactly as described,5,7/11/2022
,Great Product,Excellent so far,5,7/11/2022
be,gud,Very good,5,6/11/2022
ulope,perfect,It worth buying again,5,4/11/2022
a,I like it,When make a call sometime connected sometime no,4,4/11/2022
HONY,perfect,Absolutely good,3,4/11/2022
MDI,nice one,BOOM ????????????,5,3/11/2022
our,I don't like it,"It does not inform me when the battery is low. Sometimes the right ear does not come on and I have no idea why. 
Overall, I do not recommend it.",2,1/11/2022
NAT,Oraimo Freepods,It's of really good quality for a fair price,5,1/11/2022
son,good,"Good product. The battery is supper lasting , the sound is okay",4,31-10-2022
rge,Exactly as advertised,"It's very comfortable in the ear, I sometimes forget I'm wearing it, lol. The earbud last about 5 hours of continuous playback on highest volume, and it produces nice filtered sound. The voice clarity during calls is superb. The casing sometimes sustains me for more than a week when fully charged. The touch function is not as sensitive, it does not always respond",4,31-10-2022
mi,nice product,Amazing sound but sometimes don't allow to connect  both ears together,4,31-10-2022
legwu,Awesome,"Came perfect and earlier than expected, sound quality is perfect too... Well it's oraimo",5,31-10-2022
IEL,Clean,"awesome piece, great sound, beautiful packaging",5,30-10-2022
it,Oraimo FreePods -3 2Baba Edition.,Good as advertised. Really deep bassy sound,5,28-10-2022
hael,ok,Very good,5,28-10-2022
yinka,Good buy,The product is nice. Good battery life and sound quality.,5,24-10-2022
annus,So happy!,Range and sound quality. A worthy purchase.,5,24-10-2022
l,Good,Nice but low noise filter and your voice is low,4,24-10-2022
ANUEL TOLUWANIMI,Good stuff,Good product,5,24-10-2022
an,Good,It's just perfect for the price,5,24-10-2022
c,Amazing Tech,I Love it So much. Oraimo. Keep it up,5,17-10-2022
hua,I like it.,I got the exact specification from the description and everything is working as expected.,5,17-10-2022
wale Onabanjo,Perfect,Great sound,5,17-10-2022
h,I love it,"Blast, go for it, it's the best u can ever ask for and the best u can get",5,17-10-2022
anuel,good,Sound quality top notch. But connection breaks when my phone is in my pocket. It's really frustrating,5,12/10/2022
TAMU,all,Fine for the money,5,11/10/2022
eed,The best,One of the best products I have ever used,5,10/10/2022
n Keys,Sweet,Great product,5,10/10/2022
nkClassiq,It's as advertised,The battery life wow and the bass is good the design is cool value for it money,5,7/10/2022
fidence,Awesome,I love this earpod. One charge can last up to 3 days and more. I really enjoy using it.,5,6/10/2022
tins,I love it,Love it!!,5,5/10/2022
ka,best,love the product,5,4/10/2022
ela,Awesome,Everything in its place and the Bass is awesome. Product is great!!!!!!,5,4/10/2022
aji,The Best,Is the Best Earbud ever,5,4/10/2022
JAMIN,Good Sound,"You will love it, good buy",5,4/10/2022
hael,Very Ok,"So so good, good bass, water resistant, so far am enjoying it , I had to get for my wife too",4,4/10/2022
istopher,I love oraimo,"The battery is superb, 8hrs it is",5,4/10/2022
BAYOWA,It's okay...,"It's a good product, good battery, good bass but the only issue is that it pains the ear a lot... If your ear is small you won't enjoy it...",3,4/10/2022
irich,I love the air buds.,They are just what everyone desiring music on the go should have in their kitty. Great acoustics and excellent ear grip.,5,4/10/2022
la,I love it,Good product,4,4/10/2022
gsley,I like it,This product has given me so much convenience just as it was described.,5,4/10/2022
ubo,Maybe na fake una sell for me,"I’m disappointed, the way the sound quality was hyped online ehn, I didn’t meet it like that ooo, sounds scrab to me, even my 2000 EarPod sounds better(LOL)",1,2/10/2022
ejo,oraimo freepods,Nice product,5,30-09-2022
EDI-KACHI,Love it!,True to spec as advertised.,5,29-09-2022
,Good stuff,I like it.,5,28-09-2022
eraj,Great sound,The sound is premium. It’s worth it,4,28-09-2022
f,Its ok,It's just a lil bit bigger than my Ears but yea it's cool????,4,27-09-2022
leman,Good,Easy to connect.... The bass is nice .... Comfortable in the ear .... The rub help to protect it from damage when mistaking falls,4,26-09-2022
dozie Anthony,The Best,Oraimo AirPods *Blast*,5,26-09-2022
a,Newly,the Bass is dup. but i struggle to connect d left ear at dsame tym. For nw I reserved my comment.,4,26-09-2022
n Onyemuze,I love it,The sound quality is amazing! You should definitely try this,5,26-09-2022
uf Nuhu,Earbuds,Wow total noise cancellation ????????,5,26-09-2022
ma Egun,Loved it,Product met specifications,5,26-09-2022
igbe,I like it,is what I expected,5,26-09-2022
an,I like it,It’s worth it,4,26-09-2022
inde,I like it,Amazing,4,26-09-2022
oh,Really good,Good bass,4,26-09-2022
un,love,Last and the base sound good i love it.,5,23-09-2022
nk,Great device indeed and highly recommended,"Effect, Noise cancellation, Long Battery life and the packaging.  Tumps-up!",5,23-09-2022
ta,I love it,"I got exactly what I ordered, and it’s working perfectly.",5,23-09-2022
adina,Nice one,Oraimo dey try well,5,23-09-2022
idele,I love it.,Nice product.,5,23-09-2022
,Kaiiiiii❤️❤️❤️,"Abeg, the price is worth the value! 

First of all, the bass is just so so good and at the same time having a clear, distinct quality sound! When I'm watching Netflix with it, it's as if I'm in cinema + the Environmental Noise cancellation is superb, I didn't even know a gen was on around me, it was when I has removed the earbud I even noticed, to tell you how good it is!

The earbuds are designed so well that you would you even forget an earbud is in your ear! It fits so well.

They definitely didn't lie about battery life,.used it for 4hrs straight and only 50% still remained!

Perhaps, where I would just like them to improve is the touch control, wished it was flat for easier touching. 

But in all....10/10 for this♥️♥️",5,22-09-2022
ith,i love this product,The sound and lasting battery,5,21-09-2022
,I love it,As expected just too good,5,21-09-2022
nedu,Perfect,Perfect product,5,21-09-2022
ny,,,5,21-09-2022
,Solid.,"Booyaka, simply awesome. A Must have.",5,20-09-2022
fie,I love it!,I feel like this product has way too many good reviews so i dont need to talk much. I love it so much that  Its my 3rd buy!,5,20-09-2022
by,I love it,"Very firm in the ear, nice bass, and long lasting",5,20-09-2022
anuel Orji,Love it,Bass Mode is lit!,5,20-09-2022
omi,I love it,Pairs well with my iPhone… no issues,5,19-09-2022
ULRAHEEM,I like it,Oraimo my product ????????,5,19-09-2022
,Works Well,It works really well; audio quality is great and calls are clear. It's just a bit difficult to get used to the touch capability cause it seems to work of it's own will,4,19-09-2022
uq,It worth the price,It worth the price,4,16-09-2022
iu,I love it,Just as advertised,5,14-09-2022
n Sparkling,The best earbuds I’ve ever used.,"This earbuds is all it promises to be. fell inside water, forgot and used it while bathing, fell multiple time but still working perfectly fine. Been more than 6months since I bought it and it still sounds like the first day I used it.

Never regretted paying for this.",5,13-09-2022
roja,great,"awesome bass, noise cancelling fantastic",5,13-09-2022
mide,Love it!,"I enjoy using it
it lasts so long and have a good audio feedback with songs and calls.",5,12/9/2022
ajide,"Good,  but ...",It's not up to a week of purchase and they are beginning to fall of my ears. The rubber support is pulling out as well.,3,9/9/2022
itope,Its Awesome,I love what I got... ????????????,5,8/9/2022
ma,Love it,I've never been disappointed by an Oraimo product and this is no exception,5,6/9/2022
dness,Worth It,"... has been doing it's work till now.
It's great! It's worth it",5,5/9/2022
nanya,Loved it!!,"It’s perfect, worth the money, sound it good, easy to understand instruction guide. Only problem I had was one ear wasn’t pairing at first. I fixed it by pairing with the particular ear that want pairing Alone, instead of together, then pairing with the other ear later",5,5/9/2022
hony,Great,I love this earpiece. The bluetooth is apt!,5,30-08-2022
loye,I love it and recommend it,Just like the saying the sound is the difference once you start using this product you will feel the difference in the sound. Don't hesitate to get one for yourself. And I think you guys can had a pouch to it,5,29-08-2022
inyechi,Earbuds,I love it. But the two ears work separately. Don't know if it's by design though. I don't really appreciate it. Although sometimes it helps because I get to connect one ear to my phone and another to my laptop.,3,29-08-2022
em,I liked it,The experience was on another level,5,29-08-2022
oma,I love it,Oraimo is the best,5,26-08-2022
la Mary Jane,POOR,You can't use it for a phone call. The person at the other end won't hear anything you say.,2,24-08-2022
CHUKWU,Super Bass,"Was very sceptical in getting it but ended up buying it.
It has a wonderful music production, thou the awareness mood is just a marketing strategy, listening to music on awareness mood doesn't give you the nice music production.
In general it's a very nice stereo earbuds for music lovers",5,23-08-2022
thew,Product,Working great ????,5,22-08-2022
id,great,"the bass is top notch, long lasting battery and great output",5,22-08-2022
vellous A,Good Sound for the price,"Can’t turn on buds without the case and ear tips loose elasticity easily
PS:I’ve used mine for about 1 month",4,22-08-2022
tunde,Longevity,It's long lasting,5,18-08-2022
 Victor,Long-lasting battery,The bass is topnotch and the battery lasts a great deal. A good buy,5,18-08-2022
tade,I like it,"The product is so nice ,the battery????is strong and the sounds is so good ????",5,17-08-2022
as Akinbola,Nice product,Oraimo no need too much hyping na lol,5,15-08-2022
INNAYA,I like it.,It's very okay and it lasts.,4,15-08-2022
e,Not recommended,Terrible noise cancellation,2,12/8/2022
inet,Good quality,"The ear foam should not fall off,
I would rate it 6.5/10 as an audiophile
And 8.5/10 as an average person
But the battery is extremely good",4,11/8/2022
in Toyin,It’s fine,It works well enough for the price..good buy,4,11/8/2022
enkhe John,Nice,Lovely,5,9/8/2022
ni Ismail,Great sound,Noice cancellation is top notch,5,9/8/2022
ilola,I like it,Works fine,5,9/8/2022
bammy,Great product!!,Just got it and I'm enjoying it!!,5,8/8/2022
,I like it,Nice one,4,8/8/2022
ez Lawal,Great product,"Noise cancellation works very fine.
Bass boost if superb. For the price? It’s a cheat",5,8/8/2022
mide Nofisat,Perfect!!!,"I love everything about this earbuds, long lasting and everything I hoped for",5,8/8/2022
waseyi,perfect,Serving well.,5,5/8/2022
gan,i like it,So nice and fantastic,5,5/8/2022
apo,I love this,Serves my need,5,2/8/2022
lekan,I like it,It sounds good.,5,2/8/2022
gsley,Good product,"It has a good battery,it last for like 3day on a heavy usage and it has a good sound ????",5,2/8/2022
k,So captivating!,Good product with long lasting duration of usage!,5,2/8/2022
piness,I love ❤️ It,"I love the packing. The sound/bass, everything is cool for me. I’m enjoying my earpod so much ????",5,1/8/2022
elvan,Met Expectation,"After reading so many reviews and watching so many review videos on YouTube. I finally decided to order it and I'm glad to tell you that my expectations was met. 
Good sound quality
Good battery life 

90%",5,1/8/2022
ola,Great product but watch out for your ear size,Works as advertised (Huge emphasis on base) but you may not enjoy it if your ear holes are small,5,1/8/2022
ael,i like it,Nice product,4,1/8/2022
watobi,oraimo free pods-3 2baba,Perfect,5,30-07-2022
,I like it!,The noise cancellation feature is amazing!,5,30-07-2022
le,I like it,Good quality,5,30-07-2022
e william,My ear hurts,My ear hurts when I put freepod on for longer than 30mins and I sometimes have to clean my ear after use. The oraimo team could have added a better protective cover for people with delicate ears.,3,27-07-2022
ir,as it describe,"Excellent battery, Noise cancellation good",3,27-07-2022
hia,good,Very nic,5,27-07-2022
,Bomb,Connected,5,27-07-2022
ty,Great,The sound is really ok. Will really recommend.,4,25-07-2022
wojolu Dipo,Good Pair of Earpods,"Sound quality is good, However the touch control isn't accurate, it's takes several attempts to change songs. Pairing after disconnection isn't smooth it takes a while to reconnect.",4,25-07-2022
an,excellent,"Very good sound, even if I don't charge it for 4days, I am still good to make use of it.... Best of the best... Good one",5,25-07-2022
r,Great,It's quality,5,22-07-2022
na,I love it!,It’s a really comfortable fit that works perfectly. The battery charges quickly and lasts for so long. The sound quality is great especially with the noise cancelling buds on. I highly recommend,5,22-07-2022
ba,Nice,"It ok for the price, and I enjoyed every beat of it",5,21-07-2022
inde,Beautiful product,Prefect for use.,5,21-07-2022
id,Good product,"The product is okay but if falls off ears easily. The rubbers are too big, making it fall off ears and you can only enjoy the bass when the rubbers are there.",4,20-07-2022
TER,Worth the price,The sound is great and the power on the earbuds lasts long after a charge,5,20-07-2022
TOR OBAYI,Good to be recommending,Excellent,4,20-07-2022
day,very good,Worth every penny,2,20-07-2022
son,Cool,It's nice,3,20-07-2022
t,oriamo,"The sound is good , the size is also good and it has a long  lasting battery.",5,19-07-2022
buzor,i need a casing pack,"Please the product is really cool and sleek, but the only default I have is for oraimo to produce a protective casing for the Earbuds.",4,18-07-2022
midola Wahab,Very good,"Its worth price, loud, it has the bass my only pro with it is the touch isn’t as sensitive as it was advertised",4,18-07-2022
eph Ojah,Performance,The best,5,18-07-2022
amin,good,long lasting battery and the sound,5,16-07-2022
 Dexter,Perfect earpods,"The earpods are good, I mean very good and for it's price I would say it's very fair. Not just the bass but the noise cancellation feature is also top notch. I barely hear anything from my surrounding when I put them on and not to mention the battery, oh my, since I bought it for the past 3 weeks it has never been low. It really lasts.",5,15-07-2022
nkwo,I like it,It's Good,1,15-07-2022
dluck,I love it,"The battery is superb and the bass is fire ????
I’ll recommend this to anyone and everyone",5,15-07-2022
entine,Superb!!,"The features are magnificent.
I love it.",5,14-07-2022
r,It's durable,does the job,4,14-07-2022
vin,"It’s Good but not, way too Good","It feels and looks nice, it also have great battery life, from some who came from a mid range battery life earbuds, to have mics on it is really good, but the quality is good but not too god, About the sound it sounds great but the bass is not top end, it’s just basic normal bass.",4,14-07-2022
INDE,oraimo freepod 3 is cool,"It is cool to an appreciable extent 
Thanks",3,13-07-2022
ian,It's Okay,I bought these earbuds because of the reviews. There's no bass or noise cancellation but the battery life is impressive.,4,13-07-2022
rick,great stuff....loving it,Very perfect in everything and It's Recommendable.,5,13-07-2022
eph,Big earbuds,"The buds are a little too big for people with small ears 
Nevertheless, the sound is really great ????????",4,13-07-2022
on,Premium Quality,"Oraimo letting us enjoy premium quality for cheap. Sound is impeccable, durability is top notch. Mine fell into water and nothing happened to it",5,13-07-2022
AS,It is dope,The battery lasts long and it is durable even if the pods fall from aeroplane and lands inside frying pan it will still work ????,5,13-07-2022
,It's Perfect...,"Oraimo is the best.... This Earbuds is something else honestly...
The sound is wonderful....
It worth the money",5,13-07-2022
ostical,Awesome!,"Awesome product, could do better with a pouch. Impressive bass and battery life. Although, there was error in packaging with the buds. The 3 sizes are all the same, didn't expect that from the official store. Like I said it's a minor packaging error.",4,13-07-2022
deji,Amazing bass,Love the bass of the music,5,11/7/2022
CIOUS,ok,I'm enjoying it,5,11/7/2022
mche,low quality,Not up to a month and it's already messing up.,1,11/7/2022
es,Good,"Good Bass output, enhanced by DSP",4,11/7/2022
iel Onwordi,Excellent product,"Excellent product, sound quality and battery life checked",5,11/7/2022
ulrazaq,I like it,It's exactly what I ordered for,5,11/7/2022
drack,I like it,It's worth it,5,11/7/2022
prosper,Sound and Battery,"The sound is great, battery life is good. I lost my former one, i was so addicted; i had to buy another",5,11/7/2022
,I love it,Got what I ordered,5,11/7/2022
RE,I like it.,"Exactly how i wanted it, i love it..",5,11/7/2022
nwumi Sanyaolu,It’s great.,Great value for money,5,11/7/2022
waseun,powerful,Great sound and battery,5,11/7/2022
uwaleke,"Cool Product, ENC?","Great product, nice bass, but awareness mode is a bit disappointing,
Did you say ENC is present? Well, i don't think it is present.",4,8/7/2022
DI,Good,Battery lasts long,5,8/7/2022
kunle,I feel pains in my ear when using this earbuds,It is has good quality sounds but I feel pains in my ear when using this earbuds within short period of time. I would recommend oraimo FreePods Pro over this. I even changed the eartips that came with the earbuds and it is still the same.,3,8/7/2022
itope,I like it,"Very good product. It fell into water, and its still working fine",5,8/7/2022
er,I love it,Exactly what I ordered.,5,8/7/2022
itayo,nice body,Very sleek,5,8/7/2022
l,"Good bass, good sound","Love it so far. Was worth it!
Battery is durable and sound quality on call or with Spotify is great!",5,7/7/2022
fe,It good,"It not really loud , but i love the packaging",3,6/7/2022
oyi,prpduct review,Product was dusty but in good condition,3,6/7/2022
dom,Top quality,Its the best i have come across in recent time...,5,5/7/2022
med,Very nice,Oraimo will always be the best airpod product in Nigeria,5,5/7/2022
E,Remarks,It's superb ???? ????,5,5/7/2022
NIYON,I love it,Superb,5,5/7/2022
orah,Love it,Worth every penny,5,5/7/2022
moi,Great product,"A week of usage. Battery life is on point, connects fast and the sound production is good. Enjoying it so far. Let's see how it does with time.",5,4/7/2022
ia,Nice airpod,"The functionalities so far look great. It would be nice if they allowed us to choose based on the size of one's ears for the device. Omg, my ears are so small, they sometimes hurt from the bugginess.",5,4/7/2022
,I love it,Sound is great,5,4/7/2022
chukwu,I love it,The sound are 100% good,5,4/7/2022
eman,Amazing Product,It has an amazing sound quality with a clear bass tone,5,4/7/2022
rji,It's awesome,Exceeded my expectations for something within this price range. It's a must buy if you're looking for something within this price range.,5,4/7/2022
us,I love it!,The sound is out of this world. The noise filter feature is commendable too,5,4/7/2022
echukwu,Superb,I like it,5,4/7/2022
l,powerful.,It beats my expextation,4,4/7/2022
E,Good,Very good,5,4/7/2022
id,i loved it,"It's beautiful, and the sand is perfect",5,4/7/2022
mbola,love it,value 4 money,5,4/7/2022
vir terdoo,Amazing,Just as expected and the bass is mad!,5,4/7/2022
n,I love it.,Great product. Lasting battery and good sound.  Impressive,5,4/7/2022
waKemi,I love ❤️ it,"Oraimo keeps impressing us with each product. This 2baba pod is just top touch. I would really love it if Oraimo can produce other colours of it like white, pink, red, yellow etc ????. Oraimo nah d baba of quality products legit. Keep it up guys.",5,4/7/2022
rick,Sound,Very clear sound.,5,4/7/2022
bola,good buy,worth it,5,4/7/2022
ko,Over hyped,It's okay for normal music lovers but not okay for sound gurus and pros..,3,4/7/2022
wafemi,Nice,It's great I love it,4,4/7/2022
watosin,I like it,"Awesome Product working well, confirmed by the person I gave as a gift",5,4/7/2022
GBOYEGA,Amazing sound production,It's perfect but can be more,4,4/7/2022
ly,I like it,No one will ever regret buying this. I really love it!. What gives me more joy is the rate of how fast it gets charged and used for a long time before getting low.,5,1/7/2022
APO Ogun-Emmanuel,Good product,"Lovely earbuds, good bass output and beautiful design ...",5,1/7/2022
tor,all features is excellent,Dope and I'm serious about this.,5,1/7/2022
wafemi,I like it,It's great. Thank you.,5,30-06-2022
reyor,I love it,It’s exact how I expected it,5,30-06-2022
E,Right ear not working,Right ear not working,1,30-06-2022
nemerem,addicted,"This is my third review, bought it first time and misplaced it after a month, bought it second one of my friend tested it and loved it so he took it, so this is the third time am buying it.. So addicted ????????",5,30-06-2022
cious Ibe,Nice,I don’t like the grip it’s not firm on the ear it can easily fall off but every other thing is perfect,4,29-06-2022
ilola,Not too good for calls,The sound quality is good for music but doesn't work for calls. I kept getting feedback that the person on the other end cannot hear me. The sound also breaks when I am watching video on my phone.,3,28-06-2022
echi Princess,Cool,Really nice buh the awareness mood ain’t cool,5,28-06-2022
san,I like it,It’s very good,5,28-06-2022
odun,????????????????,"Totally worth the money...really great product here, thumbs up to u guys????????????????",5,28-06-2022
ssing,Very Nice,The sound is topnotch. It's worth every penny of it,5,28-06-2022
ak,I really love it.,The sound production and voice clarity is really commendable.,5,28-06-2022
nknow,okay,sounds very okay even with calls.,4,28-06-2022
i,Good value for money,Works as advertised. Fits well and battery life is good.,5,28-06-2022
kanni busayo,best product,Nice to behold and good to use,5,28-06-2022
y,good product,Very nice,5,28-06-2022
our,good,Very good bass and lasting battery,5,27-06-2022
son Nathaniel,Top notch,Perfect,5,27-06-2022
ahim,Performance with calls and PC,"Doesn't work so well with calls. I get the complain sometimes that the one I'm talking to can't hear me, then I have to disconnect the airpod. It also breaks a few times while watching a video on my PC with it.",3,27-06-2022
ahim,Good product,Works quite well,5,27-06-2022
keade,I like it,It cool,5,27-06-2022
ilola,Love it,It really nice,5,27-06-2022
kun,Great for the price,Great for the price,5,27-06-2022
uwatito,Super bass,It's a wonderful product. Good value for money,5,27-06-2022
GOKE,I like it,Love it,5,27-06-2022
our,I like it,I love the sound. It lasts,4,27-06-2022
iru,Best ever,Wonderful,5,27-06-2022
anuel,perfect,"It's just as described, loud, fitting and all... Also the ENC is superb and the call quality is good",5,27-06-2022
USTINE,I love it.,It's worth the money. Long lasting battery life and the sound is ????,5,27-06-2022
wan,I like it,"I like it but the two can't pair at ones, it one at a time",3,27-06-2022
oma,I justlove it.,Very clear when making calls. Good sound and bass. Fitting in the ear.,5,27-06-2022
